'(32, 39, [25], 2)' 2
'(4, 24, [38], 1)' 1
'(27, 17, [4], 2)' 2
'(30, 32, [24], 2)' 2
'(19, 27, [40], 2)' 2
'(40, 12, [7], 2)' 2
'(10, 24, [35], 2)' 2
'(25, 43, [16], 1)' 1
'(6, 10, [40], 2)' 2
'(30, 36, [1], 2)' 2
'(2, 10, [32], 2)' 2
'(9, 2, [15], 2)' 2
'(20, 33, [16], 1)' 1
'(3, 26, [42], 2)' 2
'(2, 22, [39], 2)' 2
'(3, 6, [36], 2)' 2
'(14, 17, [6], 1)' 1
'(21, 29, [20], 1)' 1
'(20, 3, [2], 2)' 2
'(2, 5, [13], 1)' 1
'(22, 1, [24], 2)' 2
'(18, 21, [42], 1)' 1
'(3, 33, [36], 1)' 1
'(33, 40, [1], 1)' 1
'(35, 41, [18], 2)' 2
'(31, 21, [19], 2)' 2
'(1, 6, [18], 1)' 1
'(30, 20, [37], 2)' 2
'(6, 5, [33], 2)' 1
'(17, 38, [39], 2)' 2
'(2, 0, [29], 2)' 2
'(33, 29, [6], 2)' 2
'(21, 27, [7], 2)' 2
'(39, 43, [2], 1)' 1
'(13, 11, [17], 2)' 2
'(17, 28, [39], 1)' 1
'(1, 10, [15], 1)' 1
'(10, 16, [4], 2)' 2
'(33, 41, [31], 2)' 2
'(3, 20, [21], 1)' 1
'(6, 12, [13], 1)' 1
'(25, 16, [13], 2)' 2
'(39, 6, [0], 2)' 2
'(7, 13, [4], 2)' 2
'(2, 7, [36], 2)' 2
'(31, 26, [39], 2)' 2
'(4, 11, [34], 2)' 2
'(35, 36, [30], 1)' 1
'(30, 19, [4], 2)' 2
'(27, 40, [11], 2)' 2
'(19, 39, [14], 1)' 1
'(37, 19, [16], 2)' 2
'(4, 16, [31], 2)' 2
'(8, 30, [2], 2)' 2
'(2, 18, [42], 2)' 2
'(38, 42, [21], 1)' 1
'(43, 38, [2], 2)' 2
'(1, 13, [36], 1)' 1
'(21, 37, [17], 1)' 1
'(27, 1, [37], 2)' 2
'(17, 33, [6], 1)' 1
'(33, 27, [13], 2)' 2
'(2, 27, [1], 2)' 2
'(16, 2, [23], 2)' 2
'(23, 10, [29], 2)' 2
'(24, 35, [4], 1)' 1
'(10, 11, [26], 2)' 1
'(12, 22, [4], 2)' 2
'(5, 39, [3], 1)' 1
'(15, 5, [3], 2)' 2
'(38, 41, [20], 1)' 1
'(18, 23, [7], 2)' 2
'(31, 23, [34], 2)' 2
'(4, 10, [26], 2)' 2
'(20, 40, [42], 1)' 1
'(28, 21, [43], 2)' 2
'(17, 27, [35], 2)' 2
'(34, 19, [17], 2)' 2
'(19, 36, [0], 1)' 1
'(33, 29, [2], 2)' 2
'(6, 10, [23], 1)' 1
'(16, 7, [29], 2)' 2
'(32, 31, [28], 2)' 1
'(41, 42, [25], 2)' 1
'(29, 4, [30], 2)' 2
'(28, 10, [38], 2)' 2
'(30, 31, [42], 1)' 1
'(37, 10, [0], 2)' 2
'(14, 10, [43], 2)' 2
'(2, 3, [31], 1)' 1
'(15, 20, [29], 1)' 1
'(16, 37, [10], 1)' 1
'(25, 26, [10], 2)' 1
'(13, 1, [35], 2)' 2
'(12, 30, [36], 1)' 1
'(19, 23, [34], 1)' 1
'(6, 17, [3], 1)' 1
'(10, 36, [42], 2)' 2
'(7, 41, [6], 2)' 2
'(7, 12, [37], 2)' 2
'(27, 37, [40], 1)' 1
'(35, 42, [34], 1)' 1
'(15, 9, [27], 2)' 2
'(14, 36, [12], 2)' 2
'(20, 41, [0], 1)' 1
'(3, 19, [30], 2)' 2
'(2, 21, [39], 2)' 2
'(24, 22, [40], 2)' 2
'(33, 2, [34], 2)' 2
'(0, 21, [37], 2)' 2
'(8, 31, [6], 1)' 1
'(36, 25, [15], 2)' 2
'(28, 42, [4], 2)' 2
'(4, 13, [15], 1)' 1
'(33, 18, [4], 2)' 2
'(16, 41, [4], 1)' 1
'(4, 21, [30], 2)' 2
'(2, 34, [38], 2)' 2
'(4, 0, [19], 2)' 2
'(32, 41, [18], 2)' 2
'(6, 10, [34], 2)' 2
'(11, 40, [1], 2)' 2
'(17, 2, [32], 2)' 2
'(1, 23, [0], 1)' 1
'(14, 12, [20], 2)' 2
'(9, 24, [41], 2)' 2
'(9, 15, [39], 1)' 1
'(0, 5, [39], 1)' 1
'(10, 14, [17], 2)' 2
'(9, 13, [28], 2)' 2
'(25, 30, [1], 1)' 1
'(31, 23, [39], 2)' 2
'(27, 41, [26], 1)' 1
'(5, 18, [3], 2)' 2
'(43, 39, [12], 2)' 2
'(16, 7, [35], 2)' 2
'(4, 3, [2], 2)' 1
'(27, 26, [20], 2)' 1
'(20, 7, [21], 2)' 2
'(4, 24, [40], 1)' 1
'(19, 28, [29], 1)' 1
'(43, 40, [9], 2)' 2
'(16, 13, [19], 2)' 2
'(9, 30, [43], 2)' 2
'(13, 23, [2], 2)' 2
'(7, 27, [3], 1)' 1
'(0, 35, [42], 2)' 2
'(36, 41, [3], 1)' 1
'(4, 17, [19], 1)' 1
'(42, 34, [30], 2)' 2
'(15, 36, [42], 1)' 1
'(36, 29, [37], 2)' 2
'(18, 23, [32], 1)' 1
'(24, 42, [10], 2)' 2
'(18, 10, [25], 2)' 2
'(31, 42, [15], 2)' 2
'(8, 13, [22], 2)' 2
'(6, 19, [41], 2)' 2
'(28, 11, [3], 2)' 2
'(41, 31, [5], 2)' 2
'(36, 0, [39], 2)' 2
'(15, 22, [6], 2)' 2
'(8, 2, [11], 2)' 2
'(12, 30, [42], 1)' 1
'(43, 28, [17], 2)' 2
'(30, 29, [26], 2)' 1
'(23, 9, [39], 2)' 2
'(23, 13, [28], 2)' 2
'(35, 42, [17], 1)' 1
'(41, 39, [16], 2)' 2
'(35, 26, [40], 2)' 2
'(22, 30, [38], 1)' 1
'(25, 31, [16], 2)' 2
'(33, 30, [42], 2)' 2
'(38, 19, [18], 2)' 2
'(2, 32, [42], 1)' 1
'(7, 35, [43], 1)' 1
'(21, 23, [42], 2)' 2
'(25, 35, [37], 2)' 2
'(12, 17, [21], 2)' 2
'(24, 32, [37], 1)' 1
'(7, 20, [34], 2)' 2
'(27, 1, [38], 2)' 2
'(17, 36, [15], 1)' 1
'(15, 30, [35], 1)' 1
'(0, 31, [34], 2)' 2
'(22, 23, [1], 2)' 1
'(25, 33, [24], 1)' 1
'(28, 39, [21], 2)' 2
'(24, 25, [29], 2)' 1
'(14, 0, [25], 2)' 2
'(23, 16, [38], 2)' 2
'(7, 16, [37], 2)' 2
'(34, 38, [6], 1)' 1
'(30, 32, [6], 1)' 1
'(12, 22, [38], 1)' 1
'(37, 36, [13], 2)' 1
'(26, 42, [6], 1)' 1
'(15, 9, [43], 2)' 2
'(36, 7, [5], 2)' 2
'(4, 22, [28], 1)' 1
'(10, 30, [38], 1)' 1
'(25, 32, [14], 1)' 1
'(35, 41, [0], 1)' 1
'(3, 19, [28], 1)' 1
'(21, 34, [19], 2)' 2
'(8, 20, [26], 2)' 2
'(17, 18, [32], 1)' 1
'(27, 32, [24], 2)' 2
'(24, 12, [9], 2)' 2
'(37, 41, [10], 2)' 2
'(12, 20, [1], 2)' 2
'(0, 21, [39], 1)' 1
'(17, 22, [12], 2)' 2
'(10, 27, [9], 2)' 2
'(18, 32, [38], 1)' 1
'(6, 12, [36], 1)' 1
'(37, 31, [43], 2)' 2
'(0, 25, [27], 2)' 2
'(11, 16, [43], 2)' 2
'(10, 16, [3], 2)' 2
'(27, 20, [1], 2)' 2
'(15, 9, [28], 2)' 2
'(7, 13, [23], 2)' 2
'(5, 6, [7], 1)' 1
'(15, 9, [32], 2)' 2
'(22, 21, [38], 2)' 1
'(17, 4, [40], 2)' 2
'(24, 38, [8], 2)' 2
'(33, 39, [31], 1)' 1
'(34, 39, [21], 2)' 2
'(33, 28, [10], 2)' 2
'(19, 17, [14], 2)' 2
'(28, 43, [9], 1)' 1
'(6, 35, [42], 1)' 1
'(33, 18, [11], 2)' 2
'(6, 33, [1], 2)' 2
'(33, 34, [2], 1)' 1
'(27, 34, [35], 2)' 2
'(22, 24, [37], 1)' 1
'(12, 39, [3], 2)' 2
'(26, 11, [33], 2)' 2
'(12, 20, [36], 2)' 2
'(33, 26, [18], 2)' 2
'(18, 33, [40], 1)' 1
'(32, 23, [2], 2)' 2
'(32, 40, [26], 1)' 1
'(5, 10, [34], 2)' 2
'(37, 41, [1], 2)' 2
'(10, 15, [0], 2)' 2
'(1, 28, [35], 1)' 1
'(4, 6, [20], 1)' 1
'(43, 6, [3], 2)' 2
'(2, 16, [19], 2)' 2
'(33, 16, [36], 2)' 2
'(27, 37, [7], 1)' 1
'(7, 11, [27], 2)' 2
'(6, 16, [19], 2)' 2
'(2, 24, [35], 1)' 1
'(37, 19, [8], 2)' 2
'(4, 25, [27], 1)' 1
'(5, 24, [28], 2)' 2
'(26, 10, [1], 2)' 2
'(6, 7, [36], 1)' 1
'(17, 39, [6], 2)' 2
'(17, 23, [43], 1)' 1
'(3, 11, [28], 2)' 2
'(16, 28, [7], 2)' 2
'(20, 19, [21], 2)' 1
'(39, 40, [30], 2)' 1
'(41, 18, [3], 2)' 2
'(41, 36, [30], 2)' 2
'(3, 30, [40], 1)' 1
'(8, 17, [4], 1)' 1
'(18, 31, [3], 1)' 1
'(28, 25, [31], 2)' 2
'(13, 26, [2], 1)' 1
'(16, 1, [42], 2)' 2
'(30, 31, [19], 2)' 1
'(31, 41, [12], 2)' 2
'(31, 23, [33], 2)' 2
'(22, 7, [4], 2)' 2
'(15, 5, [42], 2)' 2
'(15, 24, [4], 2)' 2
'(9, 29, [38], 2)' 2
'(35, 28, [17], 2)' 2
'(20, 42, [13], 1)' 1
'(13, 10, [23], 2)' 2
'(14, 8, [6], 2)' 2
'(21, 6, [28], 2)' 2
'(11, 28, [38], 1)' 1
'(18, 35, [39], 2)' 2
'(18, 25, [17], 1)' 1
'(0, 3, [42], 1)' 1
'(5, 23, [32], 2)' 2
'(30, 13, [8], 2)' 2
'(7, 11, [17], 1)' 1
'(10, 19, [42], 2)' 2
'(4, 21, [37], 2)' 2
'(13, 21, [28], 2)' 2
'(24, 19, [16], 2)' 2
'(2, 12, [38], 2)' 2
'(8, 5, [13], 2)' 2
'(12, 14, [28], 2)' 2
'(19, 42, [14], 2)' 2
'(0, 24, [36], 2)' 2
'(9, 36, [37], 2)' 2
'(8, 38, [7], 1)' 1
'(5, 17, [10], 4)' 1
'(11, 28, [36], 1)' 1
'(20, 19, [6], 2)' 1
'(34, 37, [42], 2)' 2
'(36, 28, [12], 2)' 2
'(39, 40, [34], 2)' 1
'(21, 25, [2], 1)' 1
'(10, 9, [40], 2)' 1
'(23, 30, [38], 1)' 1
'(14, 5, [30], 2)' 2
'(7, 9, [29], 2)' 2
'(20, 30, [9], 2)' 2
'(6, 9, [5], 1)' 1
'(12, 8, [33], 2)' 2
'(27, 21, [39], 2)' 2
'(36, 22, [8], 2)' 2
'(11, 33, [2], 2)' 2
'(5, 26, [35], 2)' 2
'(2, 6, [9], 2)' 2
'(2, 17, [25], 1)' 1
'(25, 24, [13], 2)' 1
'(38, 41, [0], 2)' 2
'(3, 40, [1], 2)' 2
'(22, 10, [42], 2)' 2
'(17, 42, [43], 1)' 1
'(17, 15, [24], 2)' 2
'(24, 31, [11], 1)' 1
'(26, 19, [9], 2)' 2
'(18, 23, [3], 1)' 1
'(3, 9, [20], 2)' 2
'(27, 31, [25], 2)' 2
'(0, 10, [11], 1)' 1
'(20, 23, [0], 1)' 1
'(8, 1, [38], 2)' 2
'(5, 15, [43], 1)' 1
'(22, 33, [2], 1)' 1
'(29, 43, [0], 2)' 2
'(23, 34, [12], 2)' 2
'(33, 39, [43], 1)' 1
'(16, 34, [7], 1)' 1
'(24, 13, [4], 2)' 2
'(26, 29, [30], 2)' 2
'(0, 16, [31], 2)' 2
'(0, 24, [32], 2)' 2
'(11, 41, [8], 1)' 1
'(23, 26, [13], 2)' 2
'(42, 29, [24], 2)' 2
'(16, 32, [9], 1)' 1
'(5, 4, [13], 2)' 1
'(40, 42, [31], 1)' 1
'(43, 29, [13], 2)' 2
'(8, 24, [40], 1)' 1
'(36, 34, [27], 2)' 2
'(6, 16, [35], 2)' 2
'(39, 32, [14], 2)' 2
'(33, 37, [40], 2)' 2
'(19, 8, [28], 2)' 2
'(28, 3, [43], 2)' 2
'(11, 36, [9], 2)' 2
'(43, 32, [15], 2)' 2
'(13, 14, [25], 1)' 1
'(4, 7, [25], 2)' 2
'(25, 15, [42], 2)' 2
'(7, 37, [1], 2)' 2
'(16, 21, [36], 2)' 2
'(25, 2, [34], 2)' 2
'(28, 24, [23], 2)' 2
'(12, 31, [10], 1)' 1
'(38, 5, [4], 2)' 2
'(28, 3, [31], 2)' 2
'(26, 34, [22], 1)' 1
'(19, 21, [25], 2)' 2
'(29, 22, [5], 2)' 2
'(1, 29, [34], 1)' 1
'(5, 15, [41], 1)' 1
'(34, 38, [2], 2)' 2
'(15, 23, [25], 2)' 2
'(26, 28, [39], 1)' 1
'(3, 36, [38], 1)' 1
'(26, 6, [39], 2)' 2
'(27, 24, [17], 2)' 2
'(16, 33, [38], 1)' 1
'(9, 15, [36], 2)' 2
'(17, 38, [7], 2)' 2
'(31, 35, [3], 1)' 1
'(7, 18, [26], 1)' 1
'(40, 14, [11], 2)' 2
'(6, 26, [39], 1)' 1
'(26, 37, [23], 1)' 1
'(1, 20, [33], 1)' 1
'(35, 19, [3], 2)' 2
'(5, 13, [19], 2)' 2
'(28, 14, [43], 2)' 2
'(9, 15, [30], 1)' 1
'(1, 12, [41], 1)' 1
'(42, 41, [32], 2)' 1
'(24, 36, [12], 2)' 2
'(28, 36, [25], 1)' 1
'(35, 26, [43], 2)' 2
'(6, 38, [2], 1)' 1
'(39, 35, [27], 2)' 2
'(1, 22, [23], 1)' 1
'(26, 25, [38], 2)' 1
'(7, 17, [20], 1)' 1
'(3, 27, [43], 2)' 2
'(11, 32, [3], 1)' 1
'(31, 40, [23], 1)' 1
'(37, 10, [39], 2)' 2
'(19, 13, [3], 2)' 2
'(0, 32, [41], 1)' 1
'(20, 43, [3], 1)' 1
'(40, 30, [10], 2)' 2
'(1, 14, [30], 2)' 2
'(22, 24, [12], 2)' 2
'(27, 13, [38], 2)' 2
'(17, 11, [23], 2)' 2
'(1, 7, [29], 1)' 1
'(15, 26, [32], 2)' 2
'(20, 43, [14], 1)' 1
'(22, 38, [9], 1)' 1
'(27, 38, [22], 1)' 1
'(24, 33, [16], 1)' 1
'(38, 22, [11], 2)' 2
'(12, 28, [43], 2)' 2
'(26, 30, [37], 2)' 2
'(4, 1, [10], 2)' 2
'(38, 43, [30], 1)' 1
'(33, 38, [4], 1)' 1
'(2, 13, [18], 2)' 2
'(17, 29, [33], 1)' 1
'(40, 32, [43], 2)' 2
'(1, 2, [13], 2)' 1
'(24, 42, [43], 2)' 2
'(2, 13, [35], 1)' 1
'(42, 17, [3], 2)' 2
'(10, 22, [2], 1)' 1
'(15, 24, [40], 2)' 2
'(16, 27, [4], 1)' 1
'(16, 30, [41], 2)' 2
'(33, 8, [7], 2)' 2
'(12, 8, [1], 2)' 2
'(16, 6, [40], 2)' 2
'(35, 9, [5], 2)' 2
'(5, 13, [34], 1)' 1
'(16, 30, [12], 2)' 2
'(39, 2, [42], 2)' 2
'(27, 35, [17], 2)' 2
'(22, 8, [2], 2)' 2
'(37, 2, [40], 2)' 2
'(15, 23, [28], 2)' 2
'(36, 15, [14], 2)' 2
'(37, 39, [29], 2)' 2
'(28, 33, [2], 1)' 1
'(13, 22, [40], 1)' 1
'(13, 38, [11], 2)' 2
'(34, 5, [43], 2)' 2
'(35, 38, [2], 1)' 1
'(16, 34, [5], 1)' 1
'(15, 29, [2], 1)' 1
'(23, 36, [20], 1)' 1
'(21, 32, [42], 1)' 1
'(15, 18, [8], 2)' 2
'(35, 0, [43], 2)' 2
'(12, 26, [41], 1)' 1
'(12, 16, [38], 1)' 1
'(16, 14, [18], 2)' 2
'(3, 12, [34], 2)' 2
'(23, 25, [0], 2)' 2
'(6, 7, [32], 2)' 1
'(3, 19, [27], 2)' 2
'(18, 1, [43], 2)' 2
'(38, 22, [15], 2)' 2
'(31, 29, [0], 2)' 2
'(19, 23, [10], 1)' 1
'(7, 14, [15], 1)' 1
'(11, 22, [6], 2)' 2
'(19, 20, [28], 4)' 1
'(4, 12, [16], 2)' 2
'(3, 19, [21], 1)' 1
'(12, 25, [42], 1)' 1
'(1, 7, [25], 1)' 1
'(20, 33, [11], 2)' 2
'(28, 34, [1], 1)' 1
'(2, 28, [29], 1)' 1
'(25, 35, [5], 1)' 1
'(32, 39, [40], 2)' 2
'(14, 6, [31], 2)' 2
'(33, 40, [13], 2)' 2
'(6, 4, [25], 2)' 2
'(36, 24, [42], 2)' 2
'(27, 38, [40], 2)' 2
'(23, 38, [14], 2)' 2
'(6, 5, [43], 2)' 1
'(21, 30, [40], 1)' 1
'(27, 11, [35], 2)' 2
'(18, 31, [43], 1)' 1
'(39, 14, [41], 2)' 2
'(23, 9, [7], 2)' 2
'(26, 24, [27], 2)' 2
'(42, 3, [43], 2)' 2
'(24, 25, [3], 2)' 1
'(27, 20, [32], 2)' 2
'(30, 43, [10], 1)' 1
'(18, 10, [19], 2)' 2
'(30, 43, [15], 1)' 1
'(21, 39, [9], 2)' 2
'(22, 9, [23], 2)' 2
'(16, 32, [12], 2)' 2
'(27, 42, [17], 1)' 1
'(24, 33, [40], 1)' 1
'(24, 26, [3], 2)' 2
'(25, 16, [32], 2)' 2
'(10, 35, [38], 1)' 1
'(32, 13, [0], 2)' 2
'(11, 25, [27], 2)' 2
'(19, 35, [3], 2)' 2
'(13, 20, [10], 1)' 1
'(34, 27, [4], 2)' 2
'(22, 17, [40], 2)' 2
'(15, 27, [2], 1)' 1
'(1, 17, [19], 2)' 2
'(16, 25, [35], 1)' 1
'(17, 22, [3], 1)' 1
'(30, 21, [9], 2)' 2
'(6, 34, [42], 2)' 2
'(17, 10, [42], 2)' 2
'(3, 5, [6], 1)' 1
'(12, 34, [43], 1)' 1
'(18, 36, [39], 1)' 1
'(2, 21, [35], 2)' 2
'(6, 42, [1], 2)' 2
'(8, 6, [3], 2)' 2
'(43, 42, [4], 2)' 1
'(21, 20, [38], 2)' 1
'(2, 14, [20], 2)' 2
'(31, 38, [25], 1)' 1
'(1, 12, [24], 1)' 1
'(40, 31, [6], 2)' 2
'(42, 43, [6], 1)' 1
'(42, 18, [9], 2)' 2
'(2, 18, [19], 2)' 2
'(2, 16, [24], 2)' 2
'(10, 9, [17], 2)' 1
'(19, 1, [22], 2)' 2
'(23, 12, [5], 2)' 2
'(4, 1, [11], 2)' 2
'(36, 14, [40], 2)' 2
'(24, 14, [28], 2)' 2
'(5, 23, [40], 1)' 1
'(4, 16, [19], 2)' 2
'(12, 1, [26], 2)' 2
'(42, 41, [16], 2)' 1
'(2, 3, [1], 2)' 1
'(0, 5, [35], 1)' 1
'(16, 8, [3], 2)' 2
'(6, 2, [19], 2)' 2
'(30, 31, [25], 1)' 1
'(19, 27, [42], 2)' 2
'(23, 36, [9], 1)' 1
'(7, 18, [29], 1)' 1
'(24, 43, [1], 2)' 2
'(1, 21, [40], 2)' 2
'(16, 17, [39], 1)' 1
'(23, 34, [12], 1)' 1
'(5, 15, [43], 2)' 2
'(26, 43, [3], 2)' 2
'(24, 40, [13], 1)' 1
'(43, 21, [13], 2)' 2
'(16, 15, [5], 2)' 1
'(0, 6, [16], 1)' 1
'(35, 40, [4], 1)' 1
'(29, 9, [3], 2)' 2
'(38, 40, [41], 2)' 2
'(14, 21, [2], 1)' 1
'(15, 29, [34], 1)' 1
'(20, 30, [43], 1)' 1
'(37, 26, [42], 2)' 2
'(25, 23, [8], 2)' 2
'(17, 40, [10], 1)' 1
'(27, 38, [20], 1)' 1
'(21, 14, [42], 2)' 2
'(1, 8, [11], 2)' 2
'(18, 17, [16], 2)' 1
'(8, 23, [25], 2)' 2
'(42, 43, [1], 1)' 1
'(10, 15, [41], 1)' 1
'(6, 12, [30], 1)' 1
'(28, 22, [33], 2)' 2
'(28, 33, [23], 1)' 1
'(36, 41, [10], 2)' 2
'(5, 8, [28], 2)' 2
'(24, 13, [5], 2)' 2
'(42, 43, [41], 2)' 1
'(2, 4, [35], 1)' 1
'(18, 5, [41], 2)' 2
'(34, 39, [17], 2)' 2
'(3, 0, [41], 2)' 2
'(33, 42, [12], 2)' 2
'(10, 13, [29], 1)' 1
'(35, 39, [2], 2)' 2
'(17, 13, [42], 2)' 2
'(14, 25, [11], 1)' 1
'(8, 6, [36], 2)' 2
'(37, 15, [3], 2)' 2
'(1, 4, [32], 2)' 2
'(27, 38, [20], 2)' 2
'(33, 37, [43], 2)' 2
'(31, 33, [9], 1)' 1
'(25, 7, [37], 2)' 2
'(12, 19, [21], 1)' 1
'(5, 32, [33], 2)' 2
'(30, 27, [11], 2)' 2
'(25, 1, [36], 2)' 2
'(6, 13, [38], 1)' 1
'(21, 26, [36], 2)' 2
'(25, 32, [17], 2)' 2
'(35, 41, [3], 2)' 2
'(21, 25, [7], 2)' 2
'(26, 16, [1], 2)' 2
'(0, 1, [42], 2)' 1
'(28, 17, [29], 2)' 2
'(2, 11, [22], 2)' 2
'(21, 23, [9], 2)' 2
'(36, 37, [6], 1)' 1
'(31, 30, [43], 2)' 1
'(25, 17, [43], 2)' 2
'(40, 28, [11], 2)' 2
'(32, 17, [3], 2)' 2
'(3, 7, [20], 2)' 2
'(1, 18, [40], 2)' 2
'(38, 27, [25], 2)' 2
'(10, 23, [43], 2)' 2
'(33, 29, [0], 2)' 2
'(12, 3, [24], 2)' 2
'(28, 12, [32], 2)' 2
'(24, 32, [43], 1)' 1
'(7, 4, [14], 2)' 2
'(37, 34, [22], 2)' 2
'(25, 23, [37], 2)' 2
'(23, 14, [32], 2)' 2
'(8, 12, [37], 2)' 2
'(27, 31, [41], 1)' 1
'(5, 6, [24], 2)' 1
'(12, 29, [39], 1)' 1
'(17, 43, [8], 2)' 2
'(15, 7, [38], 2)' 2
'(29, 32, [2], 1)' 1
'(39, 26, [6], 2)' 2
'(34, 39, [42], 2)' 2
'(32, 19, [13], 2)' 2
'(37, 19, [11], 2)' 2
'(35, 37, [18], 2)' 2
'(18, 33, [43], 2)' 2
'(22, 14, [3], 2)' 2
'(25, 9, [6], 2)' 2
'(15, 41, [10], 1)' 1
'(0, 6, [8], 1)' 1
'(34, 28, [15], 2)' 2
'(6, 23, [39], 1)' 1
'(28, 34, [15], 1)' 1
'(20, 24, [15], 2)' 2
'(3, 22, [37], 2)' 2
'(24, 16, [33], 2)' 2
'(19, 34, [35], 1)' 1
'(23, 8, [1], 2)' 2
'(9, 22, [27], 2)' 2
'(36, 37, [2], 1)' 1
'(2, 15, [35], 1)' 1
'(3, 4, [23], 1)' 1
'(1, 6, [24], 1)' 1
'(20, 24, [13], 1)' 1
'(32, 36, [15], 2)' 2
'(22, 8, [1], 2)' 2
'(29, 35, [1], 1)' 1
'(39, 3, [1], 2)' 2
'(39, 28, [25], 2)' 2
'(26, 43, [24], 2)' 2
'(28, 22, [12], 2)' 2
'(33, 41, [0], 2)' 2
'(26, 24, [10], 2)' 2
'(32, 34, [27], 1)' 1
'(11, 1, [37], 2)' 2
'(32, 34, [9], 1)' 1
'(42, 34, [1], 2)' 2
'(8, 17, [26], 1)' 1
'(22, 1, [26], 2)' 2
'(8, 15, [23], 1)' 1
'(25, 26, [7], 2)' 1
'(34, 43, [27], 2)' 2
'(31, 32, [25], 1)' 1
'(25, 23, [9], 2)' 2
'(37, 26, [43], 2)' 2
'(0, 8, [43], 2)' 2
'(28, 21, [30], 2)' 2
'(34, 29, [37], 2)' 2
'(18, 12, [19], 2)' 2
'(4, 28, [38], 1)' 1
'(17, 21, [31], 2)' 2
'(25, 26, [9], 1)' 1
'(8, 39, [43], 1)' 1
'(8, 34, [39], 1)' 1
'(20, 25, [3], 1)' 1
'(29, 32, [22], 2)' 2
'(4, 14, [32], 2)' 2
'(42, 43, [29], 2)' 1
'(17, 21, [1], 2)' 2
'(10, 4, [20], 2)' 2
'(39, 28, [27], 2)' 2
'(12, 20, [8], 1)' 1
'(23, 40, [1], 1)' 1
'(34, 4, [35], 2)' 2
'(23, 20, [13], 2)' 2
'(6, 19, [43], 2)' 2
'(21, 33, [20], 2)' 2
'(11, 21, [30], 1)' 1
'(7, 25, [30], 2)' 2
'(6, 33, [40], 2)' 2
'(29, 22, [39], 2)' 2
'(2, 28, [35], 2)' 2
'(10, 39, [7], 2)' 2
'(0, 33, [40], 1)' 1
'(9, 14, [0], 1)' 1
'(34, 42, [9], 2)' 2
'(8, 13, [5], 1)' 1
'(30, 33, [42], 2)' 2
'(20, 35, [5], 1)' 1
'(24, 37, [2], 1)' 1
'(6, 32, [40], 1)' 1
'(26, 9, [7], 2)' 2
'(27, 33, [37], 1)' 1
'(32, 23, [4], 2)' 2
'(7, 6, [33], 2)' 1
'(3, 38, [43], 2)' 2
'(29, 25, [19], 2)' 2
'(7, 20, [32], 1)' 1
'(19, 0, [24], 2)' 2
'(13, 24, [30], 2)' 2
'(5, 21, [26], 1)' 1
'(0, 15, [43], 1)' 1
'(17, 25, [32], 2)' 2
'(15, 3, [37], 2)' 2
'(1, 12, [43], 2)' 2
'(14, 6, [30], 2)' 2
'(8, 32, [0], 1)' 1
'(12, 17, [10], 2)' 2
'(33, 8, [39], 2)' 2
'(29, 40, [28], 1)' 1
'(19, 31, [11], 1)' 1
'(36, 0, [37], 2)' 2
'(4, 10, [18], 2)' 2
'(21, 36, [19], 2)' 2
'(18, 9, [38], 2)' 2
'(30, 39, [43], 2)' 2
'(26, 15, [41], 2)' 2
'(12, 4, [31], 2)' 2
'(7, 9, [25], 2)' 2
'(19, 32, [9], 1)' 1
'(5, 25, [29], 1)' 1
'(14, 20, [26], 1)' 1
'(17, 32, [42], 2)' 2
'(25, 13, [4], 2)' 2
'(38, 19, [16], 2)' 2
'(1, 13, [25], 1)' 1
'(6, 25, [4], 1)' 1
'(1, 2, [24], 1)' 1
'(9, 19, [24], 1)' 1
'(22, 0, [36], 2)' 2
'(6, 8, [9], 1)' 1
'(9, 29, [7], 1)' 1
'(1, 13, [20], 2)' 2
'(30, 43, [12], 2)' 2
'(18, 11, [5], 2)' 2
'(35, 40, [9], 2)' 2
'(25, 20, [10], 2)' 2
'(9, 13, [33], 1)' 1
'(40, 37, [33], 2)' 2
'(18, 17, [11], 2)' 1
'(4, 24, [32], 2)' 2
'(25, 18, [5], 2)' 2
'(42, 17, [43], 2)' 2
'(35, 1, [38], 2)' 2
'(22, 43, [20], 1)' 1
'(2, 12, [15], 1)' 1
'(12, 19, [0], 2)' 2
'(31, 18, [17], 2)' 2
'(11, 16, [26], 2)' 2
'(34, 33, [41], 2)' 1
'(17, 19, [41], 2)' 2
'(21, 33, [16], 2)' 2
'(42, 41, [15], 2)' 1
'(8, 20, [4], 2)' 2
'(43, 4, [1], 2)' 2
'(40, 39, [29], 2)' 1
'(34, 40, [6], 2)' 2
'(2, 10, [0], 2)' 2
'(15, 6, [16], 2)' 2
'(11, 29, [7], 1)' 1
'(11, 23, [28], 1)' 1
'(42, 31, [14], 2)' 2
'(18, 42, [8], 1)' 1
'(33, 4, [30], 3)' 1
'(19, 20, [15], 1)' 1
'(32, 33, [24], 2)' 1
'(13, 27, [29], 2)' 2
'(19, 24, [5], 1)' 1
'(22, 36, [4], 1)' 1
'(29, 40, [24], 1)' 1
'(20, 28, [31], 1)' 1
'(30, 24, [7], 2)' 2
'(0, 20, [29], 1)' 1
'(13, 2, [29], 2)' 2
'(18, 22, [7], 1)' 1
'(3, 12, [25], 1)' 1
'(24, 22, [15], 2)' 2
'(37, 38, [34], 1)' 1
